rectory roofers,their ladders,take them higher
long drive,scent of fresh tea breaks,the mist
into the blue,a white swan,rising
receding waters,the sea unseals,a thousand puddles
the slickness,of the otter's back?,night rain
jasmine blossoms,the farmer returns with,fishy dreams
rippling,the breeze arrives,and retreats
falling mist,touching the spaces,between falling leaves
from both sides,of the border,cockcrow
c-section . . .,a lark hatchling beaks,the full moon
new moon . . .,footprints circling,the winter apple
why should a fiddlehead,become a fern?,flower moon
mid-winter,the heart of sweetbox,thru an open gate
poolside palms,the play of shadows,all day long
broken twigs,short end of wishbones,among the tombstones
first snow,from the jay's beak,a full moon rises
courting cats,a pane of glass,between them
out of the canyon,out of the blue,a flute
paper boat,"cradled by the sky,",cradling the sky
new moon?,the wolves howl,within themselves
galahs,a deeper shade of pink,sunrise
a pelican turns,dives and surfaces,crescent moon
autumn afternoon,the cat's eyes follow,each falling leaf
what if . . .,around the pig's snout,green butterflies
winter blessings,snowflakes,one by one
lime cordial,the tinkle of ice,forty years ago
warm breeze,caught on the grass,one dragonfly wing
autumn rain . . .,the birdbath fills,drop by drop
old fire pit,moss grows,where there were songs
coffee shop,our family stories,darkly roasted
outdoor patio,the hummingbird into,the flower tattoo
first of october,clipping peppers,in the evening rain
rain shower,from the gutters:,crickets
soaking in mozart,a purple cactus flower,on the windowsill
winter kinglet,learning the yes and no,of each branch
draughty sill,the dead moth,back on its feet
a quiver,in the folk singer's voice . . .,dappled sunrise
mild winter,cloaking the creek,tundra swans
sultry air,the marsh grass,overtakes the path
drawing near?,the loon's call still sounds,from afar
it selects the m,to build its nest,walmart
roadside tree,ribbons streaming,from the bend
thunder carry?,the long slow slope,to the valley
fingers burning,i take my blues,higher
dead of winter,i was where i am,when the snow began
last rays of sun?,crows suddenly,gold-winged
her last year at,primary school,the wren's tail
shuttle-bus-driver,our daily conversation,about the lottery numbers
falling through,a metal net,city moon
anniversary,of my father's death,leaves falling off a mountain
eventide?,crows find the last piece,of blue sky
on the edge of town,an outfield,keeps on going
graduation day,cool breeze stirring,gowns and leaves
will pay anything,the medal collector,who missed the war
inlaws coming,the dog knows how,to play dead
snow melt,the barn owl,glides across the moon
on the underbelly,of the falcon?,the dawn's pink light
in the snow,footprints going away,her last gift
heat haze?,the call of doves,from the oaks
morning escapes,through newly empty air,acorns
adrift,in a fishbowl . . .,stray moon
warm sand,we leave our impressions,behind
dusk?,moths doze,on my window
clouds cling,to the mountain,stories you try to forget
cool nights,the morning glory's,delicate purple
fading in and out,of the overcast sky?,crescent moon
day's end,my daughter asks,for the moon
dawn?,a sudden beating of wings,against my window
october,what flowers are left,lie down
thanksgiving,huddled on cold asphalt,gulls with no necks
urban rainbow?,the factory chimneys,glow gold
low tide,a band of surfers,compare scars
late night special,the postman rings,a broken bell
florida spring?,the brown chameleon,turns green
watch repair,all the clocks still set,to standard time
summer rain,on the clothes line,down feathers
old railway tunnel?,still hearing the sound,of birdsong
hotel entrance,we re-examine,the stars
monkey puzzle,trapped in the heart,of the garden maze
a tiny branch . . .,the hummingbird keeps time,to summer rain
pale sun flickers,across the buddha's face,pulse of crickets
the cry of a nightbird,how slowly a rose opens,in darkness
trays of canap's,at the picnic?,crows
long summer night?,pale through the fire,the rising sun
lamb's ear,the softness,of summer rain
work day's end,the chimney smoke curls,between raindrops
first day alone,coyote tracks,in the sand
last breath of fish,in the seagull's beak,broken sand dollars
frogs out-do,the church choir?,evensong
lazy afternoon,the slow circles,of a redtail hawk
family dinner,so many forms,of silence
lightning flash,the dog's silhouette,also trembles
remembering,the costa rican sun,clink of ice cubes
at the burial,grief pauses,for the mockingbird
table tennis,father and daughter,both win
live fish in the restaurant,we choose,tofu
purple magnolias,lingering,twilight
class reunion,everyone else's,ring fingers
"this morning, autumn",in the husks,of sunflowers
frost sliding,on glass?,tri-focals
arms flung wide,the laundry,surrenders to the wind
sunset,the heron steps out,of his shadow
the countdown,somebody else's,new year's kiss
waking,to the hum of the furnace,winter dawn
haloed lights,in a snow-covered parking lot,hometown visit
an albatross dips,below the waves,gale force swell
knife wind,my white breath,stolen
beside the graveyard,train parked,on the tracks
spring melt,a sheet of snow,punched with crocuses
mid-summer storm . . .,a herd of dairy cows,huddle together
cherry smoke,on the mantel nail,her white dress
day drizzle,scrubbing the rainbow,inside the pot
first warm day,the melancholy face,of the tv dials
ripening sky,another slow turn,of the cider press
ki,3... 2... 1... 2012!,ss
moving day . . .,inside this matchbox,a cicada shell
autumn sunset,in the brown field,a red tractor
morning haze,the voice from the dash,relocating
friday's dusk,he brings home,dark chocolate
thunder,the stray dog,bolts
this winter night,slowly unfolding,first star
deep autumn,the half-naked birch,fully yellow
overcast day,the lamp posts,filled with snow
condolences,i choose the card,without words
yet another bug,buzzes the zapper,whiskey moon
morning fog,the distance,between boat and shore
drizzly field,the rattle of a tractor,wades in the fog
cutting,the last rose stem . . .,woodsmoke
purple lightning,irises,in bloom
the fat cat,sits halfway home,squash blossoms
pine slabs,dovetailing together,carpenter's hands
switchback . . .,alpine aster,all in bloom
cold snap,the sharp bite,of a radish
sparsh-swars,from the sitar . . .,jasmine breeze
flea market . . .,a monkey's paw,under glass
stormlight,the magnolia,bursts into flower
alone at dusk,waiting for the company,of fireflies
spring rain,the lips and throat,of the iris
lingering,in my sleeping bag,campfire smoke
autumn weeds . . .,the orb spinner's,warp and weft
unfolding,a field map of summer . . .,butterfly
pushing her lips together,to form the sound?,frogs
afternoon stillness?,my neighbor's chimes,announce the breeze
night rain,the fainter sound,of the ocean
hazy sunset,the weight,of a ripe peach
first crush . . .,apple branches,nearly touching
butterfly house,we're all,six again
open atlas,the continental drift,of clouds
lightning-split oak?,what would i be,in another time?
left-over snow,in the juniper's shadow,an old suet cage
white sky,a cloud of blackbirds,erupts from an oak
milky way . . .,the way the cow path,rings a hill
the arch,of her foot . . .,feather shedding moon
record heat?,a song thrush beats,against the tomato cage
short-cut home,weaving my shadow,through storm-toppled trees
humming fridge?,the quiet thoughts,of a robot
easter morning,a rapture of hawks squalls,beyond the scud
monsoon,grackle stepping,through raindrops
apologies?,cutting the bruise,from the apple
icy wind,a shiver,in the blackbird's song
halloween,witches on brooms,come up the escalator
woodland,the silence,of history
weeping willow,her golden hair,once blew that way
autumn winds,campaign signs,shifting positions
his oil paintings,so unlike mine?,passion fruit
swaths of grass,curl across the yard . . .,first snowman
sleet,the wind-chime's,unfamiliar tune
50 years slip away,lacing up,old skates
medieval city,a construction crane,touches the sky
new home,another child's handprints,in the driveway
branch by branch,a squirrel climbs,the oak's shadow
outdoor artist,the color of the dog,beside him
morning frost,lifting white socks higher,the neighbour's cat
summer dusk,the sound of high heels,from the backyard
december dusk,i will never visit,my grandparents' birthplace
sunrise,performing what i imagine,tai chi to be
not getting the whole story?,this ladybug,on my page
carrying on,as if nothing had happened,dogwood in bloom
morning frost,invitation to a white,wedding
hot afternoon,the shoe seller kicks a butt,into the canal
pebbled beach,no sound skips,into the new year
starry night,pills snug,in their bottle
twilight?,the scent of clover,in her hair
mountain overlook?,we speak,in whispers
tall ships,the rifted sky,closes . . . opens
in the shade,of a towering oak,acorns dropping
a grackle not as black,as the memory of,grackles
a river of corn lilies,divides the meadow,yellow butterfly
high tide,the taste of salt,on your lips
under the voices,of summer birds,raven
muggy sunrise,the brown spider crawling,up the web
green shoots,in the cherry tree's shade,last year's cherries
midsummer quiet,the cascading shades,of mountain ridges
a gap,in the leaf shadows,summer moon
one tree without buds,last year's,empty nest
crescent moon,my old knees,creak up the stairs
another,dead camera battery,fading peonies
morning heat,a swallowtail drifts,into the blue
cherry bush,drooping with fruit,sparrows and finches
one vanilla scoop,moon rising over the,brooklyn bridge
winter slump?,wearing out the fabric,of my easy chair
framed,in the kitchen window,venus rising
easter incense,the prayers i never learned,in latin
shoveling snow . . .,a wind gust halos,the street light
one white sail,on the horizon,silence between waves
tracing the fades,of the spring river,the wagtail's tail
sundown,the slap,of a beaver's tail
clouds racing,a sundog,disappears
iris garden,the sisters pose,in purple dresses
hangover . . .,an empty beercan,fills with rain
bus stop,the conversation takes,a strange turn
the fireworks,the constellations,summer heat
the weight,of late sunlight,peach boughs
father's day,picking up,the same broken shells
power failure,watching the moon,instead of tv
outside goodwill,a new pair of old jeans,and the blue sky
balancing,on a blade of grass,nightfall
january . . .,cat turns on,the electric blanket
evening fog,the crack of a home run,from the ball park
main street,a sign points the way,to the cemetery
chipped nail polish,the red,of a leaf falling
half-empty bottle,whiskey trembles,at a touch
fireworks,home from the war,my uncle flinches
autumn damp?,old leaves composting,in the back lot
empty bleachers,a sparrow takes a dust bath,behind home plate
walking in flip-flops,on top of the leaves,indian summer
rainy day,the street musician's,empty tip box
poverty,no matter where you go,the moon
no exit sign,the door scuffed,with boot marks
silhouetted trees,against a hazy moon?,end of vacation
full moon,lemon slice floating,in my teacup
black elder,shakes its shadow loose,early snowfall
snow melt?,a puddle,of lost mittens
west coast sky?,the cat dreams,of catching eagles
beachside,after iced tea,"his cold, cold kiss"
manhattan,bus doors clossse,with a hisss
doctor's rounds,a frantic search,for her good teeth
on the railing,a leaf hopper studies,my pen
wading,out into the creek,water lilies
grandma's coffee table,the yellow green orange,of old jelly beans
dawn chorus,the sky surrendering,its indigo
through a slice,in the sunset sky,new moon
chinook's in,melting snowman,loses face
tree-shimmering pond,the jazzband wavers,through birdland
veterans day,removing his prosthetic arm,at the airport
old camp road?,plumes of dust eddy,in the heat
snowflake,the moment before it melts,his smile
knee deep snow,hiking all the way,to the mailbox
strolling policeman,even the spider hides,behind the bench
back from war,the soldier cleans,his room
day moon,the call of a goose,from the south bank
twilight lake,a solitary loon dives,into itself
alight,bend pivot shudder flutter,bye
open air stage,in the moon's spotlight,a dancing moth
small town,idling at the red light,horse & buggy
winter beach,two herring gulls dip,into sunrise
river sunset,above my head a circle,of buzzards
new self-knowledge,a sinkhole to the right,of the path
inuksuk,first??????one,then??????????many
outdoor theatre,watching the crow,watching the play
midnight thunder,zigzag lines cross the sky . . .,the crack in my mirror
blending,with ice fog . . .,my breath
the wind through,wild plum blossoms,deeper breath
"ice cream, basketball",'subway not fast enough,for one-day weekends
time enough to read,this,one second added
shape of the afternoon,a dog shakes,its checkered coat
snow angel,the shadow,of a raven's wing
january thaw?,we are speaking,again
winter ball...,instead of her hand,i kiss her mitten
hunger moon,even my dreams,empty
the,smell,of snow
not yet winter?,the ptarmigan,already white
summer apples dangle,"up, down, side to side?",life before the fall
dream,of a lost moon,snow light
"she checks short dress,",long hair in the window:,backhoe driver concentrates
tails of two balloons?,all they take,with them
city lights...,the distance,between us
picking sea holly,the sky,just as blue
weather girl?,the low front rolling in,matches her outfit
spring day...,flowers,i've never seen
december sky?,a jay's voice,shrill blue
only thing blacker,than raven's wings: eyes dark,enough to steal the sun
old rosary,the diary,of her hands
going the wrong way,down the street,a mockingbird
losing track of place,on patchwork quilt,despite dropped crumbs
[insert perceptive,seventeen syllable verse,without humor here]
a small hand,reaches for the stars,moon bounce
valentine morning,time to release,the lovebirds
in an old diary,between pages?,withered rose
hospice visit,the daffodil stems,in a clear vase
squirrel's delicate,turning of acorn,i almost kiss you
waning moon?,"on her mourning dress,",a white pacifier
the wet kleenex snow,blob on the sidewalk holds her,entire small handprint
still sky,"no birds, no breeze",morning after the war
daylilies . . .,my son's face,freckled orange
sudden rainstorm,the dog shakes off,each drop
white kimono,often confused,with nine hundred count percale
earthquake alarm...,trees raise their hands,towards the sky
"cubical snug, plays","solitaire, eats like you would",load a pellet gun
rocking chair,sits in the attic,counting years
deep shadows,i play hide and seek,with the sun
pipe leaking,a way to get to know,new neighbors
watching a sunset,in black and white,the color-blind man
first dew touch?,"shyly, the lily unfolds",her petals
she's plucking eyebrows,from the wall mirror like an,escher drawn escher
spring breeze,smell of flowers and,starch
this longest night?,knitting the baby's blanket,into socks
bottoms in the air,a line,of missing ducks
half moon?,dog's bark above,the factory noise
what wind finds you here,"begging shadows, coins tapping",songs for an alley
growing sideways,in the deep forest?,a single birch
"skeletons of the aspen,",snowflakes dance,the winter away.
sipping green tea,from a styrofoam cup...,stomach in knots
"the blue-eyed cat, gone",was it coyotes,or that flock of big ravens?
freeing the ego,doesn't mean abandoning,your love of peaches
clank of iron?,two butterflies ascend,in their mating dance
black cars drive themselves,"suits, wind flutters pages, me",buried in my clothes
"curls of smoke,",rise from my coffeepot.,the soft patter of rain.
drifting,with the snow,a plastic bag
a silver scimitar,new moon slices,night blue sky
"rabbits at market,",their furs pulled off like mittens?,"shiny, newborn limbs."
little windfall apples?,cartoon cherry bombs,that went pffft
frost on morning glass,"winter's gentle face, voices",whisper through windows
on both sides,of the cemetery fence,wild flowers
"and there lies the ocean,","so grey and deep,",a bobbing yacht.
i fill the feeder,chickadee sings,we are grateful
the dust of two towers,is slowly obscured by smoke,from a thousand towns.
prickly pear?,"hidden in golden grass,",still green and holding
a sunflower field,millions of tiny faces,smiling in daylight
"a soft whisper of breeze,","dandelions gently sway,",fleeting time
small bird,on a cattail,not singing
night walk full moon,steel rails gleam,to vanishing point
"over the hayfields,","a barn owl floats, searching.","ok, i'll listen too."
between the trees,swoop of coloured wing and feather,and hammock song of summer
his face,next to mine?,whiskers
purple scented air,hovering over the lilacs,transient moment
"dear c.,?i think i",needed your strength???to get here,sorry i can't stay
goodbye hug,the blue of the,forget me nots
clay on the wheel,deep breath,reaching for the centre
budding romance...,between them on the porch swing,a just opening rose
an hour's walk,and getting nowhere?,the treadmill
skin against my palm,you trace translucent road maps,"read, cartographer"
",your flesh a fever",limning me??in this way,i??lay hold upon??i
he shows me his tattoo?,the tree shadow,on the sidewalk
strong breeze,clouds sweep by,the top of the tree
curling up,when problems arise,armadillo
spring recital?,mozart on the piano keys,bird warbles at the window
left in the closet,"an umbrella, forgotten",rain cloud emptying
the sweat dripping drip-,ping into your eyes like tears,for all my efforts
sleeping in?,his side of the bed,still warm
roots of the dead spruce,reach out bony fingers,secret life exposed
spring break,crocus pokes its head,through the melting of march
radiant heater,a cat by the window,purrs
echoes of sunset,your upturned face a canvas?,splashed watercolor
exchange,of wedding vows?,the incoming tide
from tree-shadow to,"lighted pools, startled koi: paint-",brush lines on water.
we will miss you -,"farewell, mr. vonnegut.",i laughed; wept
bowl of tomatoes,first hint of ripening,early dawn glow
glasses on table -,"grandpa passed in june,",only two months away
smile amphibian,servile fly crowning frog prince,order among thieves
plane ticket to france,"like a ""fuck thou"" ode to you",if i had the balls
coarse white pubic hair,sign of fleeting time old age,now at the ready
bursts over belt loops,designer brand across her ass,"""guess"" what?... your weight?"
"to touch, be touched",is everything worth wanting,"yes, there and yes, that"
"mountains, but not stone?",white sculptures too pure for hands.,i break like a wave.
a photo is all,we have of our rendezvous,between here and there.
snow on the ground,streetlamps are on,at four o'clock
"still, white cityscape",belies fury of last night's,edmonton blizzard
luminescent lures,draw them close to its dark mouth,the nightclub swallows
lightning eyes flashing,and your face darkens and clouds,thunder comes after
"quick steps on hard wood,","a racing heart / shadow hips,",scream of passing skin.
winter is a birth,of lofty expectations,for the next season.
elton john sings,a texas love song as,first snow falls
"time flows freely, like","water in a river, no",dam can hold it back
dusk rain surrenders,bright clouds bleed a war-red,kurosawa sky
graying sky soaring;,a roof above the heads of,mortal creatures beneath
in the hour of foxes,shadows slip and slink around,edges of perception
flesh gnaws at its chains.,tainted souls dance in rubble /,echoes murmur in the skin.
familiar photos on the wall,remind me of who i am,but who the fuck are they?
iridescence,painting colour in the moist air,clouds weeping prisms
fall's blaze of folly,deposits rich red blood cells,on winter's bare bones
freshly shaved legs,and washed my sheets today,going to bed bliss
the smell of wet earth,streetlight halos in the rain;,yukatta raincoat
no washrooms anywhere;,crouching behind a tree,i can hear everything now
drowning in whiskey -,she left again,and keeps leaving
burned trees among,the fading living:,reminder
coffee with buddha,i talk about my worries,his dick-ass smile.
broken umbrellas,young women's hats-flattened,cormorant weather
corner store:,spider's built a web,across the butterfly nets
crescent moon?,"still, i turn my gaze back",to the muddied path
"good night, fair city",your belly button sex drive,makes me fucking sick
trying to tune in,a song of the soul but my,reception is bad
not willing to leave,"this imperfect nest, this bird",has so much to learn.
water into wine,every time you look at me,my girl parts get drunk
starlings gossip,amused at our lovemaking,the quivering limbs
winter chill-,"around the windy corner,",surprise! full moon.
midnight:,bats are diving,"""it's hot,"" she says"
whiskey and cigars,perfect companions for this,mountainous refuge
spring football players,"pop and hustle, grunting.",yearless. fatter.
alone tonight-,how blue,the moonlit iris
the clouds open up,"a halo of rain, downpour","your lips, glistening"
luggage gone astray,'welcome home' from purring cat,the best elixir
curvaceous woman,vibrates at the edge of you,"a dark, sultry lie"
fading oil worker,"bedded now, and filled with tar",counting his regrets
meditation class,he begins by contemplating,the blonde's navel
"paul mccartney,",a conspiracy theory:,he's really a douche
me and my best friend,smoke rollies behind garage,think our moms won't know
shopaholics wet,leather jackets protect well,river ice creaks loud
disused bridge,mist flows,over the river
driving home -,the rainbow,arrives there before me
changing our sheets -,cherry blossom,drifts to the floor
camping ground -,the cries,of other people's children
leaving your home -,kowhai flowers,flick off my windscreen
there???????not there,the spider's thread,catches sunlight
round and,round and round -,the moon
lamplight -,a moth zigzags,between stars
benefit cuts,her letter to santa,goes unanswered
spring moon,she re-threads my dead,nana's pearls
where soldiers,once slept and died -,a spider's home
replying to his letter,the paper cold,against my hand
west coast holiday,a ponga frond,unwinding
old pines,each one leans,apart
walking over pebbles,her pocket,grows heavy
sunday morning,a dog sniffs the base,of the goal-post
on a diet,she devours,recipe books
green light -,a small spider darts,across the windscreen
piercing cold -,a kea calls,through the mist
children's voices,the ducks,swim closer
visiting my ex -,the dog licks,my face
gusty wind,barley heads sweep,in a mexican wave
first white butterfly,my cabbages,not yet planted
moonlight,the stream flows from shadow,to shadow
road to the beach,wave after wave of blue,hydrangeas
silver frost,a pigeon wing tilts,to the rising sun
jagged mountains,a harrier hawk,hangs in the air
off-street parking,cabbage tree fragrance,fills the spaces
frost shimmers,the distant mountains,so close
last sun,the footprints over the dunes,filled with shadow
morning shallows,the wading birds,all conjoint
low tide -,i walk to you,across the sky
all this way,in your letter,that cigarette smell
checking the map,the road disappears,into a fold
weather forecast,searching the sky,for an isobar
autumn morning,clearing the misty window,to see the mist
lemon blossom,accidentally picked,perfumes the whole room
grandson's visit,we compare notes,on his parents
fish and chips night,first home,the smell
emptying the mousetrap,the tiny drop,of blood
gravestone,underneath the weeds,we will not forget
in the dark part,of her wardrobe -,"a snout, eyes"
summer rain -,finding chocolate frogs,at the back of the shop
each streetlight,with its own rain -,clock of mah-jong tiles
slicing papaya,the swing,of her black pearls
first dance -,the moon,in her hair
waitangi -,the parson bird,sings a different song
family photo box,how my father smiles,in black and white
raindrops,and the sound,of a shoe being unlaced
bitter tea - my teeth,leave indentations,in the polystyrene cup
to write as simply,as you pick,a single blade of grass
"each day less light,",the smell of printer's ink,on the morning newspaper
"first snow,",the eyes of the sparrows,sharp and bright
during the rainstorm,the child's colouring-in,becomes more intense
winter's end-,a folded poem,stops the window rattling
"the storm passes,",sunlight,on the back of a sheep
"red red hibiscus,",its stamen casts,a purple shadow
the old broom,sweeps away,bits of itself
a raindrop,riding a spider's thread,leaf tip to leaf tip
aquajogging,the instructor's toenails,painted blue
arthritis,the dog chews,an old bone
cheerleaders,the synchronized bounce,of pony-tails
end of a stalk,the caterpillar climbs,a ladder of air
fallow field,the frosted shadow,of a scarecrow
landing in her lap,a scroll of bark,from the eucalypt
losing track,of my thoughts the flight,of a butterfly
my mouth,"full of fingers, the dentist",asks about holidays
sunny day,butter melting,on sweet corn cobs
bringing,this sky inside,breath
heat of the night,the folded stillness,of a rescued moth
pear blossom,where the old white horse,used to stand
approaching summer,the paths of the cattle,through the dew
new moon and star,just the slightest curve,of her belly
surf mist,the salt of a grief,without tears
frolicking,in the disused cow pond,two dragonflies
end of summer term,students' duties removed,from the whiteboard
on the battlefield,i find half a button,slimed with moss
gathering storm,the scent of lavender,across the fence
chinese busker -,the notes of his bone flute,carried on the wind
ghost town,the empty highway,into the hills
under my hand,slow sweep,of a horse's mane
first frost,the camper van,on blocks
gloomy day,the farmer's motorbike light,on the flooded field
summer dawn,the runners' footsteps,past the window
above ancient,fortifications,transmitting antenna
after your,telephone call,the rain
just the retriever's,nose above the stick -,flight of wading birds
wrecked ship,beside the memorial,a starfish
midnight thirst,drinking from cupped hands,- a moth's closed wings
in her bedroom,all her lovers,only photographs
on the front lawn,trying to fly his kite -,the wind won't
tartan umbrella,my own bright roof,in the alleyway
hurting me more,the departure,of my son's lover
sheltering also,this sandfly,on my hand
southerly storm,we give the old ewe a hand,with her last triplet
shy girl in the doorway,impaled on ranks,of friendly eyes
strewn on the road,a six-pack of beer,and a teddy bear
adventure playground,grandma is stuck,in the fort's entrance
wedding photo -,towering over the groom,the bride's son
floating,round the jetty's end -,marigolds and a condom
harvesting pears,all the street's children,arrive to help
tngrs,bhnd th bk shds -,txtg
moon eclipse,meeting our shy neighbour,for the first time
tea with mother-in-law? -,condescension,clouding the view
washing,my mother's breasts,we both giggle
climbing motuara -,a saddleback darts,under my breath
after the storm,the garden flooded,with light
family christmas -,sharpening,all the knives
the fields of flanders?-,the rich red,of the cemetery gates
waiting at the airport,the beaming smile,someone else's husband
melting snow,from the cowshed,the tang of silage
christmas eve? -,the merry flashing,of brake-lights
lawyer's office -,she adds three kisses,to the divorce settlement
mountain-side -,the train climbs its own,sound
circus dwarf -,so high above his hand,the red balloon
wedding ring worn thin,she kneads dough,in autumn sunlight
attic dust,finding my mother's,footsteps
in,the empty billboard frame,the whole mountain
past the manikin,the girl with the same,pout
dusk -,up to my ears,in birdsong
boarding house porch -,a lone male,lights up
lost tour bus,between fences,in landscape road
hissing line to china ...,your reply's,delay
amish joke,old-style string-base bed,only for unwanted guests
carter polishing hooves,crouches out,of camera shot
admires the new handbag,on the window sill,then rangitoto's fuji
new moon,more brilliant than the colour,of my lamp lit hair
again imagining drifts,on a stream through,bridge shadow
silver paper glints ...,her death's anniversary,origami cranes
muddy circle,measured in the snow,by a dog's chain
shifting house,hokusai's,rolled up on the floor
friend's dog,shakes the avon river,all over our lunch
a little frown,on my wife's face,unpeeled chestnuts
bright winter day,tattoo'd man takes a child's hand,across the street
the little girl,lifts her eyebrows,orchid scent
the wind dies,wet paint,smudged on glass
xmas lilies,on the white tablecloth,child licks the bowl
mountain track,the marks of it,on his wedding ring
wind over water,so easily the cormorant,one to the other
better than ever,in my neighbour's garden,my old roses
backyard cricket,dad and i pick up,the kitchen window
midday shimmer,the elderly umpire,closes one eye
tea break,a sparrow at point fossicks,among the seed-heads
bouncing ball,beating the giggling boy,down the zig-zag
winter morning,the lame goose lagging a little,behind its gaggle
for tonight enough,the stars ...,the black sky
catching the rainbow,on a floating thread ...,a new-born spider
gentle touch -,a grasshopper's feet,crossing my own
distant fog-horns,long cries,of the sea-birds
the cat's fur,bringing in,the smell of the hayfield
old man's stick on the path,chip ... chip...,chip-p...chip-p...chip-p...
"lilac flowers, so fleeting,","yet so loved,",in spring they're everywhere
prize chrysanthemum,you have written your own haiku;,you don't need mine
macrocarpa shade,lengthens over the hill-slope:,autumn afternoon
stacking firewood,scent,of the old forest
watch out for stings,when eating wild honey,or reading haiku
between breaths,following the white,of this butterfly
drifting evensong,pine needles cloistered,in fresh snow
heartsick . . .,the floxgloves of my childhood,out of reach
first winter's day,i slip into,his gumboots
coming home,to an empty house,so many stars
winter afternoon,one empty space,in the library carpark
navigating,these country roads,the curl of her hair
day moon,hoof prints litter,the beach track
heat shimmer,a heron drinks,from the horse trough
sun-soaked sky . . .,seeking out the wisdom,of beach glass
summer heat,overripe plums spill,into a bowl
lamp light,buddha's features,flicker
as she turns to leave,my mother's,girlish smile
talk of suicide -,mother and daughter,on the way home
on an embankment,three chinese,gather chestnuts
shorter days ...,wizened grapes,cling to the vine
a man alone,on a porch ...,smoke unfurling
voices of india,from a kitchen window,smell of curry
autumn tide,the geese changing shape,over an old wharf
after lambing -,sheep,with trailers
late evening,an approaching star,becomes a helicopter
ducklings,file across the road,cars scatter
shooting season,the village pond,alive with ducks
driving behind a school bus,pupils signal,with their fingers
almost spring,snowflakes,weep on my shoulder
a blind man fishing -,seagulls,loot his bait box
winter camping,footprints end,at the yellow snow
health centre aquarium,at the bottom,a dead goldfish
going through customs,a chef,the sniffer dog pauses
on the parched earth,hawk's shadow:,war-planes over iraq
putting on weight,the one-walk-a-week dog,from paekakariki
on the deck,abandoned dog biscuits -,and a marble
your tears at the airport,now it's raining,in la
divorced poets,share,the same page
"your ""freedom"" -",costing us,the earth
minute's silence:,through the loudspeakers,children's voices
our last day,together,first daffodil
after the storm,a fallen pine -,first flower on the kowhai
tapping,the boatshed wall,a boat
a giant rimu falls,within an hour,rain
years later,off the pier,the same few boys fishing
ex-junkie -,two bags,in his teacup
into the stillness,a neighbour shovels,gravel
op shop,pepper grinder,even has pepper
shadows,on the chess board,becoming fewer
city dump,a little boy finds,an old speech bubble
an ambulance,fades with the distance . . .,sometimes . . .
crowded lift,no raising,of eyes
tonight,as you left,only half a moon
postal box,letting go,that letter
kite string,unwinding,the wind
chemotherapy,putting on a brave face,as she loses her hair
canterbury nor'wester,the cat stretched,under the geraniums
formal dinner,the forgotten savour,of etiquette
nativity scene,angel,waving to grandma
riverbank,lined with hats,whitebait season
south road,crosses on a fence,where a family ended
nobody home,the evangelists,talk to the dog
first love,the secret her face,tells everyone
late walk,beach and moon,the same curve
all the notes,in the skylark's song,sky blue
sandflies,tiny bits,of buddha
summer ice,the shopkeeper,bangs his scoop
magnolia shade,cicadas,in both ears
livestock auction,no one bids,for the sparrows
