Force and yielding meet,together: An attack,is half repulsed.
"But the evening is growing late, The blinds are",being lowered; She who held your heart and charmed you Is only,a rosy glimmer of flame remembered.
"Rain rattles on the pavement, Puddles",stand in the bluish stones; Afar in the,Yoshiwara Is she who holds my heart.
"Alas, the torn lantern",of my hope Trembles and sputters,in the rain.
I saw him pass at twilight;,He was a dark cloud travelling Over,palace roofs With one claw drooping.
One dainty,"thrust, no more Than","this, he needs."
His heart is like a wind Torn between cloud,and butterfly; Whether he will roll passively to,"one, Or chase endlessly the other."
My heart is broken and mournful,As rain heard beating Far off in the distance,While earth is parched more near.
He only can bow to men Lofty as a god,"To those beneath him, Who has taken sins and sorrows And whose deathless spirit",leaps Beneath them like a golden carp in the torrent.
But the laughing rains,of spring Will break the weak,green shoots of their love.
His will grow a towering,"stalk, Hers, a cowering flower",under it.
Would that the rains,of all the winters Might wash,away my grief!
"The cranes have come back to the temple,","The winds are flapping the flags about, Through a",flute of reeds I will blow a song.
Chrysanthemums,bending Before the,wind.
Chrysanthemums,wavering In the black,choked grasses.
"The wind frowns at them, He",tears off a green and orange stalk,of broken chrysanthemum.
The chrysanthemums spread,"their flattered heads, And scurry",off before the wind.
"Storm-birds of autumn With draggled wings: Sleet-beaten, wind-tattered, snow-frozen, Stopping",in sheer weariness Between the gnarled red pine trees Twisted in doubt and,"despair; Whence do you come, pilgrims, Over what snow fields?"
To what southern province,"Hidden behind dim peaks,",would you go?
"""Too long were the telling Wherefore",we set out; And where we will find rest,Only the Gods may tell.
Only beyond the still grey shoji For the,"breadth of innumerable countries, Is the sea with",ships asleep In the blue-black starless night.
A squall,has struck the sea,afar off.
You can feel it quiver Over the paper,parasol With which she shields her face; In the drawn-together skirts,"of her robes, As she turns to meet it."
"Windy evening of autumn, By the","grey-green swirling river, People are resting like still boats Tugging",uneasily at their cramped chains.
"Some are moving slowly Like the easy winds: Brown-blue,","dull-green, the villages in the distance Sleep on the banks of the river:",The waters sullenly clash and murmur.
The chatter of the,"passersby, Is dulled beneath",the grey unquiet sky.
The green and violet peacocks Through,"the golden dusk Showered upon them from the vine-hung lanterns,","Stately, nostalgically, Parade."
I will scrawl,on the walls of,the night Faces.
"Leering, sneering, scowling, threatening faces;","Weeping, twisting, yelling, howling faces; Faces fixed in a contortion","between a scream and a laugh, Meaningless faces."
I will cover the walls of night With,"faces, Till you do not know If these faces","are but masks, or you the masks for them."
"Faces too grotesque for laughter, Faces","too shattered by pain for tears, Faces of such ugliness",That the ugliness grows beauty.
"They will haunt you morning,","evening, Burning, burning, ever",returning.
"Their own infamy creating,","Till you strike at life and hate it, Burn",your soul up so in hating.
I will scrawl on the,"walls of the night Faces, Pitiless,","Flaring, Staring."
"The seasons passed for her, Like","pale iris wilting, Or peonies flying",to ribbons before the storm-gusts.
The sombre,pine-tops waited until,the seasons had passed.
My beloved is like blue smoke that,"rises In long slow planes, And wavers Over the",dark paths of old gardens long neglected.
"There was a city living here long ago, Of","all that city There is only one stone left half-buried in the marsh, With",characters upon it which no one now can read.
In my heart is,the sorrow Of years like,red leaves buried in snow.
Girls will laugh and scatter,"cherry petals, Sometimes they will rest",in the twisted pine-trees' shade.
If one presses her warm lips to,this tablet The dust of my body will feel a,"thrill, deep down in the silent earth."
The sky spreads out its poor array Of tattered,"flags, Saffron and rose Over the weary huddle of housetops",Smoking their evening pipes in silence.
The city gleams with lights,this evening Like loud and yawning,laughter from red lips.
"As the fish that leaps from the river, As the dropping","of a November leaf at twilight, As the faint flicker of lightning down the","southern sky, So I saw beauty, far away."
I dreamed I caught your loveliness In little,"silver jars: And when you died I opened them, And",there was only soot within.
"Rain fell so softly, in the","evening, I almost thought it was",the trees that were talking.
Cities are the toy-boxes Time plays,with: And there are often many doll-houses,Of which the dolls are lost.
A poet's moods:,Fluttering butterflies,in the rain.
Grass moves in the,"wind, My soul is",backwards blown.
"Land, green-brown; Sea,","brown-grey; Island, dull peacock","blue; Sky, stone-grey."
A bell in the fog Creeps out,echoing faintly The pale broad flashes,"Of vibrating twilight, Faded gold."
There is a goddess who,walks shrouded by day: At night she throws,her blue veil over the earth.
Men only see her,naked glory through the little,holes in the veil.
An old courtyard,Hidden away In the,afternoon.
"Grey walks, Mossy stones, Copper carp swimming","lazily, And beyond, A faint toneless hissing",echo of rain That tears at my heart.
"Here I am, an old man","in a dry month, Being read to","by a boy, waiting for rain."
I was neither at the hot gates Nor,"fought in the warm rain Nor knee deep in the salt marsh,","heaving a cutlass, Bitten by flies, fought."
"My house is a decayed house, And the jew squats on","the window sill, the owner, Spawned in some estaminet of Antwerp,","Blistered in Brussels, patched and peeled in London."
The goat coughs at night,"in the field overhead; Rocks, moss,","stonecrop, iron, merds."
"The woman keeps the kitchen,","makes tea, Sneezes at evening, poking",the peevish gutter.
I an old,"man, A dull head among windy",spaces.
Signs are taken,for,wonders.
"""We would see a sign"": The","word within a word, unable to speak","a word, Swaddled with darkness."
In the juvescence of the year Came Christ the tiger In,"depraved May, dogwood and chestnut, flowering Judas, To be eaten, to be","divided, to be drunk Among whispers; by Mr."
Vacant,shuttles,Weave the wind.
"I have no ghosts, An old",man in a draughty house Under,a windy knob.
After,"such knowledge,",what forgiveness?
Think now History has many cunning,"passages, contrived corridors And issues, deceives with","whispering ambitions, Guides us by vanities."
Think now She gives when our attention is,"distracted And what she gives, gives with such supple confusions",That the giving famishes the craving.
Gives too late What's not believed,"in, or if still believed, In memory","only, reconsidered passion."
"Gives too soon Into weak hands, what's",thought can be dispensed with Till the,refusal propagates a fear.
Think Neither,fear nor courage,saves us.
Unnatural,vices Are fathered by our,heroism.
These tears are,shaken from,the wrath-bearing tree.
The tiger,springs in,the new year.
Us,he,devours.
Think at last We have,"not reached conclusion, when I",Stiffen in a rented house.
Think at last I have not made this show,purposelessly And it is not by any,concitation Of the backward devils.
I would meet,you upon this,honestly.
I that was near your heart was,"removed therefrom To lose beauty in terror,",terror in inquisition.
I have lost my passion: why,should I need to keep it Since what is kept,must be adulterated?
"I have lost my sight, smell,","hearing, taste and touch: How should I use",it for your closer contact?
These with a thousand small deliberations Protract the profit,"of their chilled delirium, Excite the membrane, when the sense has cooled, With pungent sauces,",multiply variety In a wilderness of mirrors.
"What will the spider do,","Suspend its operations, will",the weevil Delay?
"De Bailhache,","Fresca,",Mrs.
"Cammel, whirled Beyond the",circuit of the shuddering Bear,In fractured atoms.
"Tenants of the house,",Thoughts of a dry brain in,a dry season.
--so the countess passed on until she,"came through the little park, where Niobe presented her","with a cabinet, and so departed."
Burbank crossed a little bridge,Descending at a small hotel; Princess Volupine,"arrived, They were together, and he fell."
Defunctive music under sea Passed,seaward with the passing bell Slowly: the God,"Hercules Had left him, that had loved him well."
"The horses, under the",axletree Beat up the dawn from,Istria With even feet.
Her shuttered barge,Burned on the water,all the day.
But this or such was Bleistein's way: A,"saggy bending of the knees And elbows, with the palms","turned out, Chicago Semite Viennese."
The smoky,candle end of time,Declines.
On the,Rialto,once.
The rats are,underneath,the piles.
The jew,is underneath,the lot.
"Lights, lights, She",entertains Sir,Ferdinand Klein.
Who clipped the lion's,wings And flea'd his rump and,pared his claws?
"Thought Burbank,",meditating on Time's,"ruins, and the seven laws."
"And the trees about me, Let them be dry",and leafless; let the rocks Groan with continual surges;,and behind me Make all a desolation.
"Look,","look,",wenches!
Paint me a cavernous waste shore Cast in,"the unstilted Cyclades, Paint me the bold anfractuous",rocks Faced by the snarled and yelping seas.
Display me Aeolus above,Reviewing the insurgent gales Which tangle Ariadne's,hair And swell with haste the perjured sails.
Morning stirs the feet and hands,"(Nausicaa and Polypheme), Gesture of orang-outang",Rises from the sheets in steam.
Sweeney addressed full length to shave,"Broadbottomed, pink from nape to base, Knows the female",temperament And wipes the suds around his face.
"(The lengthened shadow of a man Is history,",said Emerson Who had not seen the silhouette,Of Sweeney straddled in the sun).
Tests the razor,on his leg Waiting until,the shriek subsides.
The epileptic,"on the bed Curves backward, clutching",at her sides.
"The ladies of the corridor Find themselves involved, disgraced, Call",witness to their principles And deprecate the lack of taste Observing that,hysteria Might easily be misunderstood; Mrs.
Turner intimates,It does the house no,sort of good.
"But Doris, towelled from the bath, Enters","padding on broad feet, Bringing sal volatile",And a glass of brandy neat.
Pipit sate upright in her chair Some distance,from where I was sitting; Views of the Oxford Colleges,"Lay on the table, with the knitting."
"Daguerreotypes and silhouettes,","Her grandfather and great great aunts, Supported on the",mantelpiece An Invitation to the Dance.
I shall not want Honour in Heaven For,I shall meet Sir Philip Sidney And have talk with,Coriolanus And other heroes of that kidney.
I shall not want Capital in Heaven For,"I shall meet Sir Alfred Mond: We two shall lie together,",lapt In a five per cent Exchequer Bond.
"I shall not want Society in Heaven, Lucretia",Borgia shall be my Bride; Her anecdotes will be more amusing,Than Pipit's experience could provide.
But where is the penny,world I bought To eat with Pipit,behind the screen?
The red-eyed scavengers are creeping,From Kentish Town and Golder's Green; Where are,the eagles and the trumpets?
Buried,beneath some,snow-deep Alps.
Over buttered scones and,"crumpets Weeping, weeping multitudes",Droop in a hundred A.
"'s [""ABC's"" signifes","endemic teashops, found",in all parts of London.
The initials,"signify ""Aerated","Bread Company, Limited."
IGNATII,AD,TRALLIANOS.
And when this epistle is read,"among you, cause that it be read also in",the church of the Laodiceans.
The broad-backed hippopotamus Rests on,his belly in the mud; Although he seems so firm,to us He is merely flesh and blood.
"Flesh-and-blood is weak and frail, Susceptible",to nervous shock; While the True Church can never fail For,it is based upon a rock.
The hippo's feeble steps may err In,"compassing material ends, While the True Church need never",stir To gather in its dividends.
The 'potamus can never reach The,mango on the mango-tree; But fruits of pomegranate and,peach Refresh the Church from over sea.
At mating time the hippo's voice Betrays,"inflexions hoarse and odd, But every week we hear rejoice","The Church, at being one with God."
The hippopotamus's day Is passed in,sleep; at night he hunts; God works in a mysterious,way- The Church can sleep and feed at once.
I saw the 'potamus take wing Ascending,"from the damp savannas, And quiring angels round him sing","The praise of God, in loud hosannas."
Blood of the Lamb shall wash him clean And him,"shall heavenly arms enfold, Among the saints he shall",be seen Performing on a harp of gold.
"He shall be washed as white as snow, By","all the martyr'd virgins kiss, While the True Church remains below",Wrapt in the old miasmal mist.
""" Mais alors,",tu as ton,vautour!
Webster was much possessed by death And,saw the skull beneath the skin; And breastless creatures under,ground Leaned backward with a lipless grin.
Daffodil bulbs,instead of balls Stared from the,sockets of the eyes!
He knew that thought clings,round dead limbs Tightening its,lusts and luxuries.
Grishkin is nice: her Russian eye Is,"underlined for emphasis; Uncorseted, her friendly",bust Gives promise of pneumatic bliss.
And even the Abstract Entities,Circumambulate her charm; But our lot crawls between,dry ribs To keep our metaphysics warm.
"Look, look, master,",here comes two religious,caterpillars.
The,Jew of,Malta.
Polyphiloprogenitive,The sapient sutlers of the Lord,Drift across the window-panes.
In the,beginning was,the Word.
A painter of the Umbrian,school Designed upon a gesso ground The nimbus,of the Baptized God.
The wilderness is cracked and browned But through the,water pale and thin Still shine the unoffending feet And there above,the painter set The Father and the Paraclete.
Under the penitential gates,Sustained by staring Seraphim Where the souls of the devout,Burn invisible and dim.
Along the garden-wall the bees With hairy,"bellies pass between The staminate and pistilate,",Blest office of the epicene.
Sweeney shifts from ham,to ham Stirring the water,in his bath.
The masters of,"the subtle schools Are controversial,",polymath.
[Greek text inserted here] Apeneck Sweeney spreads his knees,"Letting his arms hang down to laugh, The zebra stripes along",his jaw Swelling to maculate giraffe.
"Oh, do","not ask, ""What",is it?
""" Let us",go and make our,visit.
In the room the women,come and go Talking of,Michelangelo.
And indeed there,"will be time To wonder,","""Do I dare?"
""" Time to turn back and descend the stair,",With a bald spot in the middle of my hair--,"(They will say: ""How his hair is growing thin!"
""") My morning coat, my collar mounting firmly","to the chin, My necktie rich and modest, but asserted by a simple","pin-- (They will say: ""But how his arms and legs are thin!"
""") Do I dare",Disturb the,universe?
In a minute there is,time For decisions and revisions,which a minute will reverse.
So how,should I,presume?
And,how should I,presume?
"And I have known the arms already, known",them all-- Arms that are braceleted and white and bare,"(But in the lamplight, downed with light brown hair!"
) Is it perfume,from a dress That makes me,so digress?
Arms that lie along,"a table, or wrap",about a shawl.
And,should I then,presume?
And how should,I,begin?
I should have been a pair,of ragged claws Scuttling across,the floors of silent seas.
And the,"afternoon, the evening,",sleeps so peacefully!
Smoothed by long,"fingers,",Asleep.
or,it,malingers.
Stretched on the,"floor, here beside",you and me.
"Should I, after tea and","cakes and ices, Have the strength to force the",moment to its crisis?
-- It is impossible,to say just what,I mean!
I,grow,old.
I shall wear,the bottoms of my,trousers rolled.
Shall I,part my,hair behind?
Do I,dare to eat,a peach?
I shall wear white flannel,"trousers, and walk upon",the beach.
I have heard,"the mermaids singing,",each to each.
I do,not think that they will sing,to me.
I have seen them riding seaward on,the waves Combing the white hair of the waves blown back,When the wind blows the water white and black.
We have lingered in the chambers of,the sea By sea-girls wreathed with seaweed red and brown Till,"human voices wake us, and we drown."
Thou hast committed-- Fornication:,"but that was in another country And besides,",the wench is dead.
"We have been, let us say,","to hear the latest Pole Transmit the Preludes,",through his hair and finger-tips.
"""So intimate, this Chopin, that I think his soul Should","be resurrected only among friends Some two or three, who will not touch the",bloom That is rubbed and questioned in the concert room.
""" --And so the conversation slips Among velleities",and carefully caught regrets Through attenuated tones of,violins Mingled with remote cornets And begins.
How keen,you,are!
) To find a friend who has these,"qualities, Who has, and gives Those",qualities upon which friendship lives.
How much it means that,I say this to you-- Without,"these friendships--life, what cauchemar!"
""" --Let us take the air, in a tobacco","trance, Admire the monuments Discuss the late events,",Correct our watches by the public clocks.
Then sit for half,an hour and,drink our bocks.
II Now that lilacs are in bloom She,has a bowl of lilacs in her room And twists,one in her fingers while she talks.
""" I smile,","of course, And go on drinking",tea.
"""Yet with these April sunsets, that somehow recall My","buried life, and Paris in the Spring, I feel immeasurably at peace, and","find the world To be wonderful and youthful, after all."
"You are invulnerable,",you have no Achilles',heel.
"You will go on, and when you",have prevailed You can say: at this point,many a one has failed.
"But what have I, but","what have I, my friend, To give you,",what can you receive from me?
Only the friendship,and the sympathy Of one about to,reach her journey's end.
I shall sit,"here, serving",tea to friends.
""" I take my hat: how can",I make a cowardly amends,For what she has said to me?
You will see me any,morning in the park Reading the comics,and the sporting page.
Particularly I,remark An English countess,goes upon the stage.
A Greek was murdered,"at a Polish dance, Another",bank defaulter has confessed.
Are these,ideas right,or wrong?
"""And so you are",going abroad; and when,do you return?
But that's,a useless,question.
You hardly know when,"you are coming back, You will",find so much to learn.
""" My smile falls",heavily among,the bric-à-brac.
"""Perhaps",you can write,to me.
""" My self-possession flares up for",a second; This is as,I had reckoned.
"""I have been wondering",frequently of late (But our beginnings,never know our ends!
) Why we,have not developed into,friends.
""" I feel like one who smiles, and","turning shall remark Suddenly, his",expression in a glass.
My self-possession gutters;,we are really,in the dark.
"""For everybody said","so, all our friends, They all were sure our",feelings would relate So closely!
I myself,can hardly,understand.
We must,leave it now,to fate.
You will,"write, at any",rate.
Perhaps,it is not,too late.
""" And I must borrow",every changing shape,To find expression.
"dance, dance Like a dancing","bear, Cry like a parrot, chatter",like an ape.
Let us take the,"air, in a tobacco",trance-- Well!
Would she not,"have the advantage,",after all?
This music is successful with,"a ""dying fall"" Now that we talk of dying--",And should I have the right to smile?
I The winter evening,settles down With smell of steaks,in passageways.
The burnt-out,ends of smoky,days.
And then the,lighting of,the lamps.
II The morning comes to consciousness,Of faint stale smells of beer From the sawdust-trampled street With all its,muddy feet that press To early coffee-stands.
With the other masquerades That time,"resumes, One thinks of all the hands That are raising",dingy shades In a thousand furnished rooms.
I am moved by fancies that are curled,"Around these images, and cling: The notion of some infinitely",gentle Infinitely suffering thing.
"Wipe your hand across your mouth, and laugh;",The worlds revolve like ancient women,Gathering fuel in vacant lots.
"Half-past one, The street lamp sputtered, The street lamp muttered,","The street lamp said, ""Regard that woman Who hesitates toward you in",the light of the door Which opens on her like a grin.
You see the border of her dress,"Is torn and stained with sand, And you see the corner",of her eye Twists like a crooked pin.
A broken spring in a factory,"yard, Rust that clings to the form that the strength has",left Hard and curled and ready to snap.
"Half-past two, The street-lamp said, ""Remark the cat which","flattens itself in the gutter, Slips out its tongue And",devours a morsel of rancid butter.
""" So the hand of the child,","automatic, Slipped out and pocketed a",toy that was running along the quay.
I could see,nothing behind that,child's eye.
"Half-past three, The lamp","sputtered, The lamp muttered",in the dark.
She smooths,the hair of,the grass.
The moon,has lost her,memory.
The reminiscence comes Of sunless dry geraniums And,"dust in crevices, Smells of chestnuts in the streets And female smells in shuttered rooms",And cigarettes in corridors And cocktail smells in bars.
""" The lamp said, ""Four","o'clock, Here is the number",on the door.
"You have the key, The",little lamp spreads a ring,"on the stair, Mount."
The bed is open; the,"tooth-brush hangs on the wall, Put your shoes at the","door, sleep, prepare for life."
""" The last twist",of the,knife.
"They are rattling breakfast plates in basement kitchens,",And along the trampled edges of the street I am aware of the damp,souls of housemaids Sprouting despondently at area gates.
The readers of the Boston,Evening Transcript Sway in the wind,like a field of ripe corn.
""" Miss Helen Slingsby was my maiden","aunt, And lived in a small house near a fashionable square Cared",for by servants to the number of four.
Now when she died there was silence,in heaven And silence at her,end of the street.
The shutters were drawn and the undertaker,wiped his feet-- He was aware that this sort of,thing had occurred before.
The dogs were handsomely,"provided for, But shortly afterwards",the parrot died too.
"The Dresden clock continued ticking on the mantelpiece,",And the footman sat upon the dining-table Holding the second housemaid on his knees--,Who had always been so careful while her mistress lived.
Miss Nancy Ellicott Strode across the hills,"and broke them, Rode across the hills and broke them-- The barren New England",hills-- Riding to hounds Over the cow-pasture.
Miss Nancy Ellicott smoked And danced all the,modern dances; And her aunts were not quite sure how they felt,"about it, But they knew that it was modern."
Upon the glazen shelves kept watch,"Matthew and Waldo, guardians of the faith, The army",of unalterable law.
Apollinax visited,the United States His laughter tinkled,among the teacups.
"I thought of Fragilion, that shy figure","among the birch-trees, And of Priapus in the shrubbery Gaping",at the lady in the swing.
In the,palace of,Mrs.
"Phlaccus, at Professor",Channing-Cheetah's He laughed like an,irresponsible foetus.
I looked,for the head of,Mr.
Apollinax rolling under,a chair Or grinning over a screen,With seaweed in its hair.
I heard the beat of centaur's hoofs over,the hard turf As his dry and passionate talk,devoured the afternoon.
"""He is a","charming man""--""But after all",what did he mean?
"He must be unbalanced,""--","""There was something he said that",I might have challenged.
""" Of",dowager,Mrs.
"Phlaccus, and",Professor and,Mrs.
Cheetah I remember,"a slice of lemon, and a",bitten macaroon.
As she laughed I was aware of becoming involved,"in her laughter and being part of it, until her teeth were only",accidental stars with a talent for squad-drill.
"I was drawn in by short gasps, inhaled at each","momentary recovery, lost finally in the dark caverns","of her throat, bruised by the ripple of unseen muscles."
""" I decided that if the shaking of her breasts could be","stopped, some of the fragments of the afternoon might be collected, and I concentrated",my attention with careful subtlety to this end.
"I observe: ""Our",sentimental,friend the moon!
"Or possibly (fantastic, I confess) It may be Prester",John's balloon Or an old battered lantern hung aloft To,light poor travellers to their distress.
""" She then:","""How you",digress!
""" And I then: ""Some one frames upon the keys That","exquisite nocturne, with which we explain The night and moonshine; music which",we seize To body forth our vacuity.
""" She then:","""Does this refer",to me?
""" ""Oh no, it is",I who am,inane.
""" ""You, madam, are the eternal humorist,","The eternal enemy of the absolute, Giving",our vagrant moods the slightest twist!
With your air indifferent and,imperious At a stroke our mad poetics,"to confute--"" And--""Are we then so serious?"
""" O quam te",memorem,Virgo.
I should find Some way incomparably,"light and deft, Some way we both should understand, Simple and",faithless as a smile and shake of the hand.
"She turned away, but with the autumn weather Compelled","my imagination many days, Many days and many hours:",Her hair over her arms and her arms full of flowers.
And I wonder,how they should have been,together!
I should,have lost a gesture,and a pose.
Sometimes these cogitations,still amaze The troubled midnight and,the noon's repose.
In winter I,"get up at night, And dress",by yellow candle light.
In summer quite the,"other way, I have to go",to bed by day.
I have to go to bed and see The,"birds still hopping on the tree, Or hear the grown-up people's","feet, Still going past me in the street."
"And does it not seem hard to you, When","all the sky is clear and blue, And I should like so much","to play, To have to go to bed by day?"
"All night long and every night, When my",mamma puts out the light I see the people marching,"by, As plain as day, before my eye."
"Armies and emperors and kings, All","carrying different kinds of things, And marching in","so grand a way, You never saw the like by day."
So fine a show was never seen At,the great circus on the green; For every kind,beast and man Is marching in that caravan.
"At first they move a little slow, But still","the faster on they go, And still beside them close I",keep Until we reach the Town of Sleep.
Three of us afloat,in the meadow by,the swing.
Three of us,aboard in the basket,on the lea.
"Winds are in the air, they are blowing","in the spring, And waves are on the meadow",like the waves there are at sea.
"Where shall we adventure,","to-day that we're afloat, Wary of the weather",and steering by a star?
"Shall it be to Africa,","a-steering of the boat, To Providence, or","Babylon, or off to Malabar?"
but here's a squadron,a-rowing on the sea-- Cattle on the,meadow a-charging with a roar!
"Quick, and we'll escape them, they're as","mad as they can be, The wicket is the harbor",and the garden is the shore.
The coach is at the door at last;,"The eager children, mounting fast And kissing hands,","in chorus sing: Good-bye, good-bye, to everything!"
"To house and garden, field and lawn,","The meadow-gates we swung upon, To pump and stable, tree","and swing, Good-bye, good-bye, to everything!"
"And fare you well for evermore, O","ladder at the hayloft door, O hayloft where the cobwebs","cling, Good-bye, good-bye, to everything!"
"Crack goes the whip, and off we go; The","trees and houses smaller grow; Last, round the woody","turn we swing: Good-bye, good-bye, to everything!"
"When I was sick and lay a-bed, I had","two pillows at my head, And all my toys beside me",lay To keep me happy all the day.
And sometimes for an hour or so,"I watched my leaden soldiers go, With different","uniforms and drills, Among the bed-clothes, through the hills."
And sometimes sent my ships in fleets All up,and down among the sheets; Or brought my trees and houses,"out, And planted cities all about."
I was the giant great and still That,"sits upon the pillow-hill, And sees before him, dale and",plain The pleasant Land of Counterpane.
Come up,"here, O",dusty feet!
The lights from the parlor and kitchen shone out Through the,blinds and the windows and bars; And high over head and all moving,"about, There were thousands of millions of stars."
We built a ship upon the stairs,"All made of the back-bedroom chairs, And filled it full of sofa pillows",To go a-sailing on the billows.
"We sailed along for days and days, And",had the very best of plays; But Tom fell out and hurt,"his knee, So there was no one left but me."
Bring the,comb and play upon,it!
"Marching,",here we,come!
Willie cocks,"his highland bonnet, Johnnie",beats the drum.
"Mary Jane commands the party,","Peter leads the rear; Feet in time, alert and","hearty, Each a Grenadier!"
All in the most martial manner,Marching double-quick; While the napkin like a,banner Waves upon the stick!
Here's enough of fame,"and pillage, Great",commander Jane!
Now that we've been,"round the village, Let's go",home again.
Dark brown is,"the river, Golden",is the sand.
It flows along,"for ever, With trees on either",hand.
"Green leaves a-floating, Castles","of the foam, Boats of mine a-boating--",Where will all come home?
On goes the river And out,"past the mill, Away down the valley,",Away down the hill.
"Away down the river, A","hundred miles or more, Other little",children Shall bring my boats ashore.
Through all the pleasant meadow-side,"The grass grew shoulder-high, Till the shining scythes went far and",wide And cut it down to dry.
These green and sweetly smelling crops,They led in wagons home; And they piled them here,in mountain-tops For mountaineers to roam.
"Here is Mount Clear, Mount Rusty-Nail, Mount Eagle","and Mount High;-- The mice that in these mountains dwell,",No happier are than I!
"O what a joy to clamber there,","O what a place for play, With the sweet, the dim, the","dusty air, The happy hills of hay!"
Whenever Auntie,moves around Her dresses make,a curious sound.
They trail behind,"her up the floor, And trundle",after through the door.
"The friendly cow all red and white,",I love with all my heart: She gives me cream with all,"her might, To eat with apple-tart."
"She wanders lowing here and there, And","yet she cannot stray, All in the pleasant open","air, The pleasant light of day."
And blown by all the winds that pass,"And wet with all the showers, She walks among the",meadow grass And eats the meadow flowers.
Up into the,cherry tree Who should climb,but little me?
I held the trunk,with both my hands And looked abroad,on foreign lands.
"I saw the next door garden lie, Adorned","with flowers, before my eye, And many pleasant places",more That I had never seen before.
I saw the dimpling river pass And,be the sky's blue looking-glass; The dusty roads go up,and down With people tramping into town.
If I could find a higher tree Farther,"and farther I should see, To where the grown-up river slips",Into the sea among the ships.
To where the roads on either hand Lead,"onward into fairy land, Where all the children dine","at five, And all the playthings come alive."
"Every night my prayers I say, And",get my dinner every day; And every,day that I've been good I get an orange after food.
"The child that is not clean and neat, With","lots of toys and things to eat, He is a naughty child, I'm",sure-- Or else his dear papa is poor.
My holes were hollow like a,"cup, In every hole the sea came","up, Till it could hold no more."
"All by myself I have to go, With",none to tell me what to do-- All alone beside,the streams And up the mountain-sides of dreams.
"The strangest things are there for me, Both","things to eat and things to see, And many frightening",sights abroad Till morning in the Land of Nod.
"Try as I like to find the way, I","never can get back by day, Nor can remember plain and",clear The curious music that I hear.
Whenever the moon and stars are,"set, Whenever the wind is high, All night long in the","dark and wet, A man goes riding by."
Late in the night when the,"fires are out, Why does he gallop",and gallop about?
